Id,SalePrice
1001,69984.56
1002,91345.555
1003,255163.67
1004,170563.97
1005,207829.44
1006,122933.266
1007,172230.02
1008,77321.66
1009,223312.45
1010,
1011,108759.5
1012,
1013,129832.836
1014,103746.2
1015,126427.836
1016,181374.36
1017,193552.8
1018,205883.62
1019,177807.78
1020,195900.4
1021,148125.88
1022,194516.22
1023,121298.04
1024,205586.55
1025,309657.53
1026,128805.5
1027,115802.41
1028,277847.8
1029,108448.7
1030,104316.67
1031,
1032,448932.66
1033,302259.53
1034,210005.88
1035,121792.695
1036,68005.04
1037,267742.7
1038,246093.94
1039,
1040,78983.85
1041,182997.67
1042,179384.02
1043,189795.72
1044,252863.12
1045,272656.7
1046,69582.42
1047,458669.34
1048,146126.81
1049,124531.74
1050,72837.59
1051,191147.05
1052,193977.11
1053,162179.36
1054,140862.38
1055,260170.61
1056,177167.22
1057,200579.34
1058,199468.48
1059,311527.8
1060,180756.8
1061,229220.03
1062,50834.348
1063,152047.17
1064,137321.25
1065,150152.89
1066,264061.5
1067,169692.94
1068,153930.78
1069,238492.9
1070,123357.1
1071,129183.87
1072,129034.62
1073,129187.39
1074,145985.84
1075,180063.61
1076,160455.84
1077,159303.78
1078,132172.6
1079,140071.44
1080,122425.79
1081,155353.08
1082,123942.25
1083,198007.55
1084,150112.38
1085,167931.84
1086,156047.2
1087,79924.14
1088,279646.25
1089,132213.7
1090,228914.2
1091,45188.13
1092,135942.28
1093,146339.05
1094,152410.58
1095,132768.19
1096,179669.27
1097,
1098,178130.81
1099,92801.22
1100,171210.16
1101,18280.41
1102,114927.336
1103,134697.83
1104,157726.06
1105,119392.05
1106,344736.53
1107,194093.31
1108,223706.45
1109,179905.61
1110,332856.62
1111,181697.89
1112,184778.42
1113,115360.04
1114,113156.26
1115,116695.34
1116,261158.81
1117,180343.05
1118,133741.16
1119,143825.17
1120,123273.29
1121,108102.984
1122,248732.69
1123,102243.34
1124,
1125,170729.81
1126,120836.29
1127,205608.98
1128,196209.61
1129,214781.44
1130,135556.22
1131,157662.39
1132,
1133,176528.66
1134,233508.3
1135,178396.67
1136,119266.75
1137,134180.56
1138,
1139,189734.53
1140,109270.6
1141,114766.94
1142,151448.5
1143,401109.25
1144,
1145,92760.84
1146,123459.98
1147,143067.34
1148,125551.19
1149,92595.695
1150,151094.16
1151,122958.65
1152,156791.88
1153,201115.92
1154,146742.36
1155,178083.61
1156,173616.73
1157,180340.23
1158,198746.56
1159,258696.94
1160,178017.0
1161,148906.52
1162,184964.27
1163,122366.2
1164,124803.164
1165,153038.97
1166,221590.05
1167,327255.97
1168,179769.28
1169,196996.31
1170,573541.4
1171,139360.44
1172,165006.94
1173,172494.3
1174,
1175,161959.56
1176,356038.53
1177,114736.99
1178,146400.45
1179,101793.23
1180,
1181,253985.58
1182,219392.73
1183,690597.25
1184,115448.37
1185,169512.75
1186,128039.12
1187,111184.45
1188,249159.55
1189,182509.55
1190,207541.6
1191,180641.45
1192,160481.77
1193,129227.875
1194,158619.95
1195,108538.29
1196,174257.8
1197,193576.22
1198,118086.664
1199,186116.0
1200,131872.12
1201,104052.1
1202,197652.0
1203,132758.38
1204,174947.69
1205,141387.95
1206,288759.62
1207,121089.84
1208,212672.52
1209,141487.5
1210,288956.3
1211,199942.56
1212,193090.05
1213,89338.15
1214,106711.445
1215,125772.95
1216,115937.26
1217,167594.92
1218,254413.39
1219,
1220,
1221,118169.516
1222,125517.555
1223,138600.16
1224,177040.3
1225,177447.22
1226,135739.94
1227,204804.78
1228,140775.86
1229,277920.75
1230,140463.14
1231,228832.14
1232,110031.45
1233,83984.06
1234,148444.52
1235,
1236,101080.836
1237,174580.53
1238,214347.23
1239,174694.97
1240,211102.05
1241,200064.98
1242,230716.84
1243,155573.8
1244,368333.3
1245,123033.266
1246,189133.17
1247,184933.6
1248,143495.31
1249,165887.61
1250,119890.484
1251,269216.22
1252,197122.44
1253,102253.984
1254,263989.8
1255,179015.83
1256,129381.71
1257,304989.7
1258,
1259,167511.58
1260,147679.67
1261,178611.1
1262,125548.945
1263,126032.305
1264,161453.34
1265,172484.33
1266,157954.78
1267,192895.22
1268,502673.97
1269,309795.44
1270,130350.14
1271,218654.94
1272,183106.73
1273,119521.2
1274,156288.62
1275,117977.984
1276,127060.74
1277,136752.47
1278,202184.61
1279,271388.2
1280,89582.75
1281,207256.47
1282,146457.06
1283,169888.05
1284,
1285,214787.31
1286,102026.64
1287,146024.6
1288,171101.48
1289,218040.19
1290,284613.16
1291,130436.695
1292,94059.57
1293,193622.39
1294,175502.02
1295,135452.12
1296,124971.54
1297,156415.05
1298,141704.5
1299,211834.52
1300,144144.25
1301,214047.47
1302,111870.44
1303,306238.28
1304,240592.98
1305,132544.16
1306,231536.83
1307,201233.77
1308,139226.33
1309,160427.48
1310,173087.5
1311,235830.92
1312,194186.95
1313,368180.38
1314,351851.06
1315,114489.87
1316,155732.34
1317,269414.9
1318,185894.23
1319,329734.8
1320,105955.11
1321,162111.17
1322,40442.27
1323,217456.75
1324,
1325,330845.88
1326,
1327,
1328,134600.0
1329,187717.48
1330,181686.45
1331,254975.89
1332,131236.0
1333,93625.79
1334,132280.77
1335,123066.12
1336,137017.4
1337,166578.17
1338,
1339,208573.5
1340,103374.625
1341,114426.1
1342,165250.92
1343,312514.47
1344,125619.07
1345,175262.42
1346,94571.164
1347,236279.27
1348,337777.75
1349,181703.14
1350,
1351,261318.1
1352,148106.0
1353,120638.555
1354,444385.53
1355,228877.42
1356,198232.03
1357,101458.375
1358,153648.84
1359,148729.17
1360,351722.84
1361,217292.2
1362,205036.55
1363,131226.0
1364,173252.12
1365,145383.39
1366,194786.12
1367,210887.11
1368,152639.39
1369,145205.75
1370,298274.44
1371,104384.8
1372,165407.17
1373,248773.14
1374,408377.9
1375,281934.38
1376,274493.06
1377,102451.4
1378,162484.2
1379,82482.24
1380,162149.86
1381,87157.25
1382,198122.95
1383,138684.02
1384,128794.07
1385,97935.55
1386,91252.555
1387,398050.53
1388,231043.67
1389,335138.72
1390,124352.32
1391,200424.44
1392,116184.34
1393,103330.84
1394,152402.78
1395,188344.62
1396,337358.6
1397,107764.95
1398,124743.36
1399,111107.34
1400,150687.33
1401,141071.4
1402,179349.77
1403,196812.73
1404,238733.3
1405,67856.88
1406,219374.12
1407,123423.28
1408,
1409,103317.5
1410,204661.27
1411,230210.97
1412,150042.78
1413,79135.71
